typestatus	standard	vetted
HOLOTYPE OF AMEIVA AMEIVA BILINEATA	holotype	1
HOLOTYPE OF AMEIVA AUBERI BEHRINGENSIS, LEE AND SCHWARTZ 1985, ANN. CARN. MUS. 54(2):13.	holotype	1
HOLOTYPE OF AMEIVA AUBERI BILATERALIS, MCCOY, 1970, ANN. CARNEGIE MUS., 41:142	holotype	1
HOLOTYPE OF AMEIVA AUBERI FELIS, MCCOY, 1970, ANN. CARNEGIE MUS., 41:142	holotype	1
HOLOTYPE OF AMEIVA AUBERI FOCALIS, MCCOY, 1970, ANN. CARNEGIE MUS., 41:137	holotype	1
HOLOTYPE OF AMEIVA AUBERI KINGI, MCCOY, 1970, ANN. CARNEGIE MUS., 41:130	holotype	1
HOLOTYPE OF AMEIVA AUBERI MULTILINEATA, MCCOY, 1970, ANN. CARNEGIE MUS., 41:132	holotype	1
HOLOTYPE OF AMEIVA AUBERI OBSOLETA, MCCOY, 1970, ANN. CARNEGIE MUS., 41:139	holotype	1
HOLOTYPE OF AMEIVA AUBERI PARVINSULAE, LEE AND SCHWARTZ, 1985, ANN. CARN. MUS. 54(2):17.	holotype	1
HOLOTYPE OF AMEIVA AUBERI RICHMONDI, MCCOY, 1970, ANN. CARNEGIE MUS., 41:134	holotype	1
HOLOTYPE OF AMEIVA AUBERI SIDEROXYLON, LEE AND SCHWARTZ, 1985, ANN. CARN. MUS. 54(2):12.	holotype	1
HOLOTYPE OF AMEIVA AUBERI VULTURNUS, LEE AND SCHWARTZ, 1985, ANN. CARN. MUS. 54(2):15	holotype	1
HOLOTYPE OF AMEIVA BIFRONTATA CONCOLOR	holotype	1
HOLOTYPE OF AMEIVA BIRDORUM	holotype	1
HOLOTYPE OF AMEIVA CHAITZAMI	holotype	1
HOLOTYPE OF AMEIVA WETMOREI ELEANORAE	holotype	1
HOLOTYPE OF AMMOSPERMOPHILUS LEUCURUS PENINSULAE	holotype	1
HOLOTYPE OF AMMOSPERMOPHILUS LEUCURUS PENINSULAE ((ALLEN))	holotype	1
HOLOTYPE OF AMMOSPIZA CAUDACUTA ALTERA, TODD, W. E. C. 1938. TWO NEW RACES OF NORTH AMERICAN BIRDS. AUK, 116-118. PAGE 117, PUBLISHED JANUARY 1938.	holotype	1
HOLOTYPE OF AMOLOPS NEPALICUS	holotype	1
HOLOTYPE OF AMPHIGLOSSUS ANOSYENSIS	holotype	1
HOLOTYPE OF AMPHIGLOSSUS MANDOKAVA	holotype	1
HOLOTYPE OF AMPHIGLOSSUS MINUTUS	holotype	1
HOLOTYPE OF AMPHIGLOSSUS PUNCTATUS	holotype	1
HOLOTYPE OF AMPHISBAENA MINUTA, HULSE AND MCCOY, 1979, ANN. CARNEGIE MUS., 48:2	holotype	1
HOLOTYPE OF AMPHISBAENA STEJNEGERI	holotype	1
HOLOTYPE OF AMYDA SPINIFERA HARTWEGI	holotype	1
HOLOTYPE OF ANADIA ALTASERRANIA	holotype	1
HOLOTYPE OF ANADIA PULCHELLA	holotype	1
HOLOTYPE OF ANOLIS  STEINBACHI, GRIFFIN, 1917, ANN. CARNEGIE MUS., 11:308	holotype	1
HOLOTYPE OF ANOLIS ADLERI	holotype	1
HOLOTYPE OF ANOLIS BAHORUCOENSIS SOUTHERLANDI, SCHWARTZ, 1978, J. HERPETOL., 12:357	holotype	1
HOLOTYPE OF ANOLIS BALEATUS SAMANAE, SCHWARTZ, 1974, BULL. MUS. COMP. ZOOL., 146:130	holotype	1
HOLOTYPE OF ANOLIS BALEATUS SCELESTUS, SCHWARTZ, 1974, BULL. MUS. COMP. ZOOL., 146:135	holotype	1
HOLOTYPE OF ANOLIS BALEATUS SUBLIMIS, SCHWARTZ, 1974, BULL. MUS. COMP. ZOOL., 146:124	holotype	1
HOLOTYPE OF ANOLIS BONAIRENSIS	holotype	1
HOLOTYPE OF ANOLIS COBANENSIS	holotype	1
HOLOTYPE OF ANOLIS CORTEZI	holotype	1
HOLOTYPE OF ANOLIS CRISTATELLUS COOKI	holotype	1
HOLOTYPE OF ANOLIS EQUESTRIS PALARDIS, SCHWARTZ, 1964, BULL. MUS. COMP. ZOOL., 131:416	holotype	1
HOLOTYPE OF ANOLIS EUGENEGRAHAMI, SCHWARTZ, 1978, ANN. CARNEGIE MUS., 47:266	holotype	1
HOLOTYPE OF ANOLIS FOWLERI, SCHWARTZ, 1973, ANN. CARNEGIE MUS., 44:186	holotype	1
HOLOTYPE OF ANOLIS GAIGEI	holotype	1
HOLOTYPE OF ANOLIS HAGUEI	holotype	1
HOLOTYPE OF ANOLIS KIDDERI	holotype	1
HOLOTYPE OF ANOLIS RUTHVENI	holotype	1
HOLOTYPE OF ANOLIS SOLITARIUS	holotype	1
HOLOTYPE OF ANOLIS STEINBACHI, GRIFFIN, 1917, ANN. CARNEGIE MUS., 11:308	holotype	1
HOLOTYPE OF ANOMALURUS BEECROFTI CHAPINI (ALLEN, 1922)	holotype	1
HOLOTYPE OF ANOURA GEOFFROYI PERUANA (TSCHUDI)	holotype	1
HOLOTYPE OF ANOUROSOREX SQUAMIPES SQUAMIPES (MILNE-EDWARDS)	holotype	1
HOLOTYPE OF ANOUS STOLIDUS RIDGWAYI, ANTHONY, A. W. 1898. TWO NEW BIRDS FROM THE PACIFIC COAST OF AMERICA. AUK, 36-38. PAGE 36, PUBLISHED JANUARY 1898.	holotype	1
HOLOTYPE OF ANTECHINUS NASO NASO ((JENTINK))	holotype	1
HOLOTYPE OF ANTECHINUS NASO TAFA ((TATE & ARCHBOLD))	holotype	1
HOLOTYPE OF ANTHUS RUBESCENS ALTICOLA, TODD, W. E. C. 1935. GEOGRAPHICAL VARIATION IN THE AMERICAN TITLARK. PROC. BIOL. SOC. WASH., 63-66. PAGE 64, PUBLISHED 3 MAY 1935.	holotype	1
HOLOTYPE OF ANTHUS RUBESCENS PACIFICUS, TODD, W. E. C. 1935. GEOGRAPHICAL VARIATION IN THE AMERICAN TITLARK. PROC. BIOL. SOC. WASH., 63-66. PAGE 63, PUBLISHED 3 MAY 1935.	holotype	1
HOLOTYPE OF AONYX CONGICUS	holotype	1
HOLOTYPE OF AOTUS LEMURINUS GRISEIMEMBRA (ELLIOT)	holotype	1
HOLOTYPE OF AOTUS LEMURINUS LEMURINUS (ALLEN)	holotype	1
HOLOTYPE OF APALIS CINEREA GRANDIS, BOULTON, R. 1931. NEW SPECIES AND SUBSPECIES OF AFRICAN BIRDS. ANNALS CARNEGIE MUSEUM, 43-56. PAGE 52, PUBLISHED 16 NOVEMBER 1931.	holotype	1
HOLOTYPE OF APALIS RUFOGULARIS KIGEZI, KEITH, S., A. TWOMEY AND H. FRIEDMANN. 1967. A NEW SUBSPECIES OF APALIS RUFOGULARIS (FRASER) FROM UGANDA. BULL. BRIT. ORN. CLUB, 165-166. PAGE 165, PUBLISHED 4 DECEMBER 1967.	holotype	1
HOLOTYPE OF APHELOCOMA CALIFORNICA CACTOPHILA	holotype	1
HOLOTYPE OF APHELOCOMA CALIFORNICA OBSCURA, ANTHONY, A. W. 1889. NEW BIRDS FROM LOWER CALIFORNIA, MEXICO. PROC. CALIF. ACAD. SCI. (2), 73-82. PAGE 75, PUBLISHED 11 OCTOBER 1889.	holotype	1
HOLOTYPE OF APODEMUS ALPICOLA (HEINRICH)	holotype	1
HOLOTYPE OF APOROPHIS MELANOCEPHALUS, GRIFFIN, 1915, MEM. CARNEGIE MUS., 7:171.	holotype	1
HOLOTYPE OF APOSTOLEPIS TENUIS	holotype	1
HOLOTYPE OF ARATINGA AERUGINOSA OCCIDENTALIS, TODD, W. E. C. 1915. PRELIMINARY DIAGNOSES OF APPARENTLY NEW SOUTH AMERICAN BIRDS ***INCORRECTLY LISTED AS RIO HACHA***. PROC. BIOL. SOC. WASH., 79-82. PAGE 81, PUBLISHED 13 APRIL 1915.	holotype	1
HOLOTYPE OF ARATINGA ASTEC MELLONI, TWOMEY, A. C. 1950. A NEW RACE OF PAROQUET OF THE SPECIES ARATINGA ASTEC FROM THE REPUBLIC OF HONDURAS. ANNALS CARNEGIE MUSEUM, 297-298. PAGE 297, PUBLISHED 28 APRIL 1950.	holotype	1
HOLOTYPE OF ARCTICTIS WHITEI	holotype	1
HOLOTYPE OF ARDOPS NICHOLLSI KOOPMANI	holotype	1
HOLOTYPE OF ARISTELLIGER COCHRANAE	holotype	1
HOLOTYPE OF ARREMON AURANTIIROSTRIS STRICTOCOLLARIS, TODD, W. E. C. 1922. NEW FORMS OF FINCHES AND TANAGERS FROM TROPICAL AMERICA. PROC. BIOL. SOC. WASH., 89-94. PAGE 90, PUBLISHED 12 JULY 1922.	holotype	1
HOLOTYPE OF ARREMONOPS CHLORONOTA TWOMEYI, MONROE JR., B. L. 1963. NOTES ON THE AVIAN GENUS ARREMONOPS WITH DESCRIPTION OF A NEW SUBSPECIES FROM HONDURAS. OCC. PAPERS MUS. ZOOL. LSU, 1-12. PAGE 8, PUBLISHED 20 DECEMBER 1963.	holotype	1
HOLOTYPE OF ARREMONOPS CONIROSTRIS UMBRINUS, TODD, W. E. C. 1923. A SYNOPSIS OF THE GENUS ARREMONOPS. PROC. BIOL. SOC. WASH., 35-44. PAGE 38, PUBLISHED 28 MARCH 1923.	holotype	1
HOLOTYPE OF ARREMONOPS RUFIVIRGATUS RHYPTOTHORAX, PARKES, K. C. 1974. VARIATION IN THE OLIVE SPARROW IN THE YUCATAN PENINSULA. WILSON BULL., 293-295. PAGE 293, PUBLISHED 3 SEPTEMBER 1974.	holotype	1
HOLOTYPE OF ARREMONOPS TOCUYENSIS, TODD, W. E. C. 1912. DESCRIPTIONS OF SEVENTEEN NEW NEOTROPICAL BIRDS. ANNALS CARNEGIE MUSEUM, 198-214. PAGE 198, PUBLISHED 20 MAY 1912.	holotype	1
HOLOTYPE OF ARTIBEUS CONCOLOR (PETERS, 1865)	holotype	1
HOLOTYPE OF ARTIBEUS FRATERCULUS (ANTHONY, 1924)	holotype	1
HOLOTYPE OF ARTIBEUS JAMAICENSIS JAMAICENSIS (LEACH)	holotype	1
HOLOTYPE OF ARTIBEUS JAMAICENSIS JAMAICENSIS (LEACH, 1821)	holotype	1
HOLOTYPE OF ARTIBEUS JAMAICENSIS RICHARDSONI	holotype	1
HOLOTYPE OF ARTIBEUS JAMAICENSIS YUCATANICUS (ALLEN)	holotype	1
HOLOTYPE OF ARTIBEUS LITURATUS (OLFERS)	holotype	1
HOLOTYPE OF ARTIBEUS LITURATUS LITURATUS ((OLFERS))	holotype	1
HOLOTYPE OF ARTIBEUS LITURATUS LITURATUS ((OLFERS, 1818))	holotype	1
HOLOTYPE OF ARTIBEUS LITURATUS PALMARUM (ALLEN & CHAPMAN)	holotype	1
HOLOTYPE OF ARTIBEUS OBSCURUS ((WIED-NEUWIED))	holotype	1
HOLOTYPE OF ARTIBEUS TOLTECUS HESPERUS (DAVIS, 1969)	holotype	1
HOLOTYPE OF ARVICANTHIS NAIROBAE	holotype	1
HOLOTYPE OF ASELLISCUS TRICUSPIDATUS KOOPMANI (SCHLITTER ET AL., 1983)	holotype	1
HOLOTYPE OF ASPIDURA DERANIYAGALAE, GANS AND FETCHO, 1982, ANN. CARNEGIE MUS., 51:299	holotype	1
